Datetime,Close,High,Low,Open,Volume,pivot,pivot_1b,pivot_2b,pivot_type,pivot_type_1b,pivot_type_2b,pivot_kind,pivot_kind_1b,pivot_kind_2b
2015-11-04,8070.05,8145.0,8057.65,8132.55,8770650.0,,,,,,,,,
2015-11-05,7989.4,8055.0,7975.1,8053.2,10689225.0,,,,,,,,,
2015-11-06,7977.4,8026.0,7946.95,7985.05,11174925.0,,,,,,,,,
2015-11-09,7936.05,7954.9,7790.0,7820.0,16977900.0,,,,,,,,,
2015-11-10,7802.5,7908.0,7791.15,7895.35,11922600.0,,,,,,,,,
2015-11-13,7774.3,7797.4,7742.55,7765.9,8502150.0,,,,,,,,,
2015-11-16,7827.25,7857.7,7725.75,7738.0,11789475.0,,,,,,,,,
2015-11-17,7852.6,7880.65,7801.1,7858.9,10366725.0,79.85766252336208,79.45432649509956,82.65316791127009,high,low,high,1.0,0.0,1.0
2015-11-18,7731.95,7854.95,7725.0,7838.35,12972825.0,,,,,,,,,
2015-11-19,7858.35,7871.3,7771.0,7791.1,12883875.0,,,,,,,,,
2015-11-20,7851.6,7924.0,7822.0,7854.0,13967025.0,,,,,,,,,
2015-11-23,7851.25,7879.65,7822.2,7872.85,12653775.0,17.09704141340249,79.85766252336208,79.45432649509956,high,high,low,0.0,1.0,0.0
2015-11-24,7832.25,7875.2,7806.4,7826.0,12793350.0,,,,,,,,,
2015-11-26,7883.8,7898.9,7838.55,7838.55,12207600.0,,,,,,,,,
2015-11-27,7972.2,7985.0,7914.0,7929.05,10497225.0,,,,,,,,,
2015-11-30,7980.1,7994.5,7952.4,7954.5,8121525.0,,,,,,,,,
2015-12-01,7987.75,8005.8,7961.0,7991.15,8002500.0,58.51453085732187,17.09704141340249,79.85766252336208,high,high,high,0.0,0.0,1.0
2015-12-02,7962.9,8003.0,7935.2,8003.0,7531050.0,,,,,,,,,
2015-12-03,7890.8,7949.0,7878.55,7929.0,9404775.0,,,,,,,,,
2015-12-04,7820.5,7856.85,7810.05,7835.0,8940750.0,,,,,,,,,
2015-12-07,7808.8,7860.2,7790.25,7860.2,7185150.0,,,,,,,,,
2015-12-08,7728.6,7803.6,7711.55,7772.0,8337300.0,,,,,,,,,
2015-12-09,7644.35,7728.0,7627.2,7707.35,12030225.0,,,,,,,,,
2015-12-10,7710.75,7722.0,7640.05,7667.65,9629625.0,,,,,,,,,
2015-12-11,7627.9,7719.9,7586.25,7712.0,11606700.0,,,,,,,,,
2015-12-14,7668.0,7695.85,7579.35,7579.35,11882925.0,,,,,,,,,
2015-12-15,7709.4,7717.0,7636.0,7663.15,9078000.0,,,,,,,,,
2015-12-16,7758.2,7789.25,7729.5,7740.0,10176600.0,,,,,,,,,
2015-12-17,7856.4,7864.0,7745.4,7805.0,13796400.0,102.81052322847816,58.51453085732187,17.09704141340249,high,high,high,0.0,0.0,0.0
2015-12-18,7790.1,7849.4,7780.3,7828.0,10921050.0,,,,,,,,,
2015-12-21,7841.45,7854.85,7763.65,7774.5,7941600.0,80.8415474277278,102.81052322847816,58.51453085732187,high,high,high,1.0,0.0,0.0
