,Date,dev_from_poc_2,poc_2,vah_2,val_2,dev_from_vah_2,dev_from_val_2,dev_from_poc_5,poc_5,vah_5,val_5,dev_from_vah_5,dev_from_val_5,dev_from_poc_10,poc_10,vah_10,val_10,dev_from_vah_10,dev_from_val_10,dev_from_poc_21,poc_21,vah_21,val_21,dev_from_vah_21,dev_from_val_21,dev_from_poc_42,poc_42,vah_42,val_42,dev_from_vah_42,dev_from_val_42,dev_from_poc_63,poc_63,vah_63,val_63,dev_from_vah_63,dev_from_val_63,dev_from_poc_126,poc_126,vah_126,val_126,dev_from_vah_126,dev_from_val_126,dev_from_poc_252,poc_252,vah_252,val_252,dev_from_vah_252,dev_from_val_252,dev_from_poc_504,poc_504,vah_504,val_504,dev_from_vah_504,dev_from_val_504,High,Close,Low,Open,Volume
1480,2015-10-16,0.010007841374360282,8156.520833333334,8195.3875,8137.0875,0.005217874078559337,0.012419984423173602,0.013135907838040195,8131.3375,8183.9375,8091.887500000001,0.00662425635581898,0.018075201861123213,0.011954399619817702,8140.83125,8201.15625,8100.614583333333,0.004510796876964651,0.016978392843135515,0.011771858074499875,8142.299999999999,8234.833333333332,7910.966666666666,0.0004027606306544751,0.04135819895587978,0.055101348710164366,7807.922916666666,8138.289583333333,7725.33125,0.012270442780897506,0.06638145775302506,0.056839953095402684,7795.078125,8445.640625,7702.140625,-0.024567778125179296,0.06959226026855347,-0.013714497365186817,8352.703125,8538.578125,7980.953125,-0.03518479547787712,0.0322263357485888,-0.014841730642507378,8362.260416666668,8757.185416666667,8098.977083333333,-0.059269661651658034,0.0171840116640245,-0.01172058391858366,8335.851041666667,8905.559375,7196.434375000001,-0.07494300435226742,0.14475441179855109,8246.4,8238.15,8147.65,8193.65,161154000000.0
1481,2015-10-19,0.0034767784446809724,8246.379166666666,8280.229166666666,8201.245833333332,-0.000625485908954837,0.008999140882558931,0.01744568116513734,8133.161458333333,8214.182291666668,8100.753125,0.007410075181200071,0.021516132180611214,0.01744568116513734,8133.161458333333,8197.978125000001,8100.753125,0.009401327232743562,0.021516132180611214,0.015665367388261187,8147.4177083333325,8246.059375,7900.813541666666,0.0035156944282854763,0.047366825752780395,0.05445502565440119,7847.703125,8176.453125,7683.328125,0.012058636366242048,0.07701374526419813,0.06157370937189932,7795.078125,8445.640625,7702.140625,-0.020198660181565686,0.07438313618170267,-0.009296765829924114,8352.703125,8538.578125,7980.953125,-0.030863232864078327,0.03684984367077071,-0.010429048166552102,8362.260416666668,8757.185416666667,8098.977083333333,-0.05505597903055337,0.02174014259516821,-0.01006305202296598,8359.16875,8911.91875,6977.29375,-0.07146258486703572,0.18599707802183318,8283.05,8275.05,8239.2,8262.55,128300000000.0
1482,2015-10-20,0.0021334801730386044,8244.061458333334,8281.890625,8233.253125000001,-0.00244396188219409,0.0034490467581729245,0.015765971720071548,8133.418750000001,8248.74375,8100.46875,0.001564632190204751,0.01989776826186751,0.015483361298702869,8135.682291666666,8238.407291666666,8118.561458333334,0.002821262352110665,0.01762486401082697,0.0129664617663523,8155.896874999999,8256.371875,7904.709374999999,0.0006392789811200394,0.045155439380084816,0.052969747902506636,7846.046875,8173.030208333334,7764.3010416666675,0.010842954131786708,0.06405585714210948,0.05985467592731797,7795.078125,8445.640625,7702.140625,-0.021785277537783032,0.07264336010484085,-0.010901036902350114,8352.703125,8538.578125,7980.953125,-0.03243258080513267,0.03517084621393507,-0.012031485705245815,8362.260416666668,8757.185416666667,8098.977083333333,-0.056586151039301424,0.02008561266353337,-0.012292937827954487,8364.473958333336,8913.365625000002,6992.244791666668,-0.07311667134713806,0.18154473222193301,8294.05,8261.65,8229.2,8280.3,159948000000.0
1483,2015-10-21,0.002045801515130341,8234.853125,8279.915625,8221.978125,-0.0034077189041402667,0.0036149299533683177,0.0018935935021868744,8236.104166666666,8290.970833333333,8181.2375,-0.00473657839627728,0.008612694595408144,0.0005410902741678214,8247.2375,8264.3875,8127.1875,-0.0015352014895235744,0.015320490637136253,0.014840262205295884,8131.033333333333,8281.833333333332,7929.966666666666,-0.003638485842506478,0.040571839309959445,0.04714942559427704,7880.155208333334,8200.771875,7719.846875,0.006210162381818485,0.06889425834628371,0.05857822945167723,7795.078125,8445.640625,7702.140625,-0.022963400126914557,0.07135151145075347,-0.012092268034487264,8352.703125,8538.578125,7980.953125,-0.03359788020912435,0.03392412795307598,-0.013221355370171328,8362.260416666668,8757.185416666667,8098.977083333333,-0.057722360851767185,0.018857062453103035,-0.013482492610426666,8364.473958333336,8913.365625000002,7266.690625000001,-0.07423297246375449,0.13555130193808118,8294.4,8251.7,8217.15,8258.35,149270000000.0
1484,2015-10-23,0.0013601473189053248,8284.182291666668,8321.165625000001,8256.444791666667,-0.0030903873518322023,0.004724213546816403,0.00014279443817555304,8294.265625,8294.265625,8219.078125,0.00014279443817555304,0.009292024462901782,0.00754886850474823,8233.297916666666,8293.172916666666,8133.50625,0.000274573237072806,0.019910693497039,0.017146947230317844,8155.606250000001,8314.83125,7943.30625,-0.002330925236756709,0.04433213814461712,0.05652259051569275,7851.654166666667,8180.237500000001,7720.220833333333,0.01408424877639547,0.07450941871805283,0.06419074536215774,7795.078125,8352.703125,7702.140625,-0.006854442704738117,0.07703175050767141,-0.006854442704738117,8352.703125,8538.578125,7980.953125,-0.02847407629709997,0.039405929351326696,-0.007989516391227025,8362.260416666668,8757.185416666667,8098.977083333333,-0.052726463435145754,0.02425897920750808,-0.009642626632691442,8376.21875,8916.568750000002,7025.34375,-0.06965894251642502,0.18078919625819023,8328.1,8295.45,8280.75,8308.25,156664000000.0
1485,2015-10-26,-0.0067864323455253395,8316.992708333331,8331.034375,8281.888541666667,-0.008460459029134615,-0.0025765308913917595,-0.0022535118410969,8279.207291666666,8299.065625,8229.561458333334,-0.004640959204368245,0.00376551555311444,0.001452018846694214,8248.572916666668,8331.139583333334,8145.364583333333,-0.008472980512119976,0.014141222960400546,0.015469980861325006,8134.706249999999,8295.98125,7919.672916666666,-0.004270893211095639,0.043041813332463486,0.05164292352544275,7854.9,8186.9,7722.1,0.00899607910197986,0.06972844174512094,0.0546430609529962,7832.555208333333,8373.580208333333,7742.384375,-0.013498432632298218,0.06692584608342944,-0.011032730796355361,8352.703125,8538.578125,7980.953125,-0.03256140787492068,0.035033018064493326,-0.01216302908528788,8362.260416666668,8757.185416666667,8098.977083333333,-0.056711762174347924,0.019949793042279618,-0.013809184484347536,8376.21875,8916.568750000002,7295.51875,-0.07357300418953228,0.1322772626689499,8336.3,8260.55,8252.05,8333.65,138006000000.0
1486,2015-10-27,0.0016260805527685829,8219.534375,8279.159375,8219.534375,-0.005587448302986631,0.0016260805527685829,-0.0001870952831115602,8234.440625,8294.065625,8224.503125,-0.0073746251555610876,0.001020958332969224,-0.0006496624865559575,8238.252083333333,8320.818749999999,8155.685416666667,-0.01056611766720661,0.00946757744916682,0.012070964455539013,8134.706249999999,8295.98125,7973.43125,-0.00760383227722472,0.03254166767914368,0.048122827789023326,7854.9,8186.9,7722.1,0.005618732365119783,0.06614780953367605,0.05111292305232973,7832.555208333333,8373.580208333333,7742.384375,-0.016800484957835482,0.06335459481756867,-0.01434303640475676,8352.703125,8538.578125,7980.953125,-0.035799651947320044,0.03156851958079887,-0.015469551319980734,8362.260416666668,8757.185416666667,8098.977083333333,-0.05986916934165265,0.016535781653495896,-0.018619155267737275,8389.097916666668,8920.081250000001,7061.639583333334,-0.07703755501106013,0.16586238972476575,8241.95,8232.9,8217.05,8230.35,161493000000.0
1487,2015-10-28,-0.006093548957262329,8221.296875,8239.655208333334,8175.401041666668,-0.008308018552050656,-0.0005138636802349827,-0.006090148798505002,8221.26875,8323.51875,8221.26875,-0.0182998025925033,-0.006090148798505002,-0.008508320686398951,8241.319791666667,8321.303124999999,8161.336458333333,-0.01803841570787612,0.0012085694196071195,0.0044861792028447756,8134.706249999999,8295.98125,8080.947916666666,-0.015041168276507477,0.011168502045062256,0.0021462648858801003,8153.699999999999,8286.5,7821.699999999999,-0.013914197791588756,0.04468338085071033,0.04323554480744307,7832.555208333333,8373.580208333333,7742.384375,-0.024168898284622098,0.05538547354799861,-0.02172986664122578,8352.703125,8538.578125,7980.953125,-0.04302567940724911,0.023837613380293998,-0.022847939091429015,8362.260416666668,8757.185416666667,8098.977083333333,-0.0669148120983507,0.008917535624997974,-0.02597393889440347,8389.097916666668,8920.081250000001,7327.13125,-0.08395453236482586,0.11519771124613043,8209.1,8171.2,8131.8,8188.9,194709000000.0
1488,2015-10-29,-0.0025783198269336838,8132.71875,8179.010416666667,8114.202083333334,-0.008223539675363156,-0.0003021964831724233,-0.01461286572972853,8232.04375,8291.618749999998,8112.89375,-0.021692838928465963,-0.00014097928991119169,-0.01461286572972853,8232.04375,8291.618749999998,8152.610416666666,-0.021692838928465963,-0.005011942749420961,-0.0028220133947675086,8134.706249999999,8295.98125,8080.947916666666,-0.022207288619414456,0.00381169185236363,-0.005144903540723722,8153.699999999999,8286.5,7821.699999999999,-0.021088517468171086,0.03708273137553242,-0.004467653521177506,8148.153125,8599.007291666665,7877.640625,-0.056664365448191645,0.029718209568616816,-0.028847323003593495,8352.703125,8538.578125,7980.953125,-0.049988196951702646,0.01638862839455668,-0.029957260858245904,8362.260416666668,8757.185416666667,8098.977083333333,-0.07370352298790828,0.0015771024581550108,-0.03306051728346848,8389.097916666668,8920.081250000001,7327.13125,-0.09061926986371349,0.1070840310114547,8179.6,8111.75,8098.0,8175.45,224234000000.0
1489,2015-10-30,-0.006040391136378109,8114.816666666667,8159.883333333333,8092.283333333333,-0.011529985110081187,-0.003272665111000772,-0.010061788293592167,8147.78125,8245.08125,8099.131249999999,-0.021744024657124994,-0.00411541052628317,-0.021744024657124994,8245.08125,8293.73125,8147.78125,-0.02748235301210178,-0.010061788293592167,-0.008416558968929233,8134.2625,8249.712499999998,8095.779166666666,-0.02229320112670563,-0.0037030613174456883,-0.010780381912505854,8153.699999999999,8286.5,7821.699999999999,-0.026633681288843247,0.031208049401025617,-0.01010696825852786,8148.153125,8418.665624999998,7787.469791666666,-0.04191467397780124,0.03574077534543685,-0.03434853612135291,8352.703125,8538.578125,7980.953125,-0.05536965500330304,0.010631170697422254,-0.03545218659727434,8362.260416666668,8757.185416666667,8098.977083333333,-0.0789506426746227,-0.004096453538757094,-0.038537864246925735,8389.097916666668,8920.081250000001,7327.13125,-0.09577056823333319,0.10081281811350107,8146.1,8065.8,8044.4,8123.55,205663000000.0
